species,island,bill_length,bill_depth,flipper_length,mass,sex,year
Adelie,Torgersen,3.91,1.87,18.1,3750,male,2007
Adelie,Torgersen,3.95,1.74,18.6,3800,female,2007
Adelie,Torgersen,4.03,1.8,19.5,3250,female,2007
Adelie,Torgersen,3.67,1.93,19.3,3450,female,2007
Adelie,Torgersen,3.93,2.06,19,3650,male,2007
Adelie,Torgersen,3.89,1.78,18.1,3625,female,2007
Adelie,Torgersen,3.92,1.96,19.5,4675,male,2007
Adelie,Torgersen,4.11,1.76,18.2,3200,female,2007
Adelie,Torgersen,3.86,2.12,19.1,3800,male,2007
Adelie,Torgersen,3.46,2.11,19.8,4400,male,2007
Adelie,Torgersen,3.66,1.78,18.5,3700,female,2007
Adelie,Torgersen,3.87,1.9,19.5,3450,female,2007
Adelie,Torgersen,4.25,2.07,19.7,4500,male,2007
Adelie,Torgersen,3.44,1.84,18.4,3325,female,2007
Adelie,Torgersen,4.6,2.15,19.4,4200,male,2007
Adelie,Biscoe,3.78,1.83,17.4,3400,female,2007
Adelie,Biscoe,3.77,1.87,18,3600,male,2007
Adelie,Biscoe,3.59,1.92,18.9,3800,female,2007
Adelie,Biscoe,3.82,1.81,18.5,3950,male,2007
Adelie,Biscoe,3.88,1.72,18,3800,male,2007
Adelie,Biscoe,3.53,1.89,18.7,3800,female,2007
Adelie,Biscoe,4.06,1.86,18.3,3550,male,2007
Adelie,Biscoe,4.05,1.79,18.7,3200,female,2007
Adelie,Biscoe,3.79,1.86,17.2,3150,female,2007
Adelie,Biscoe,4.05,1.89,18,3950,male,2007
Adelie,Dream,3.95,1.67,17.8,3250,female,2007
Adelie,Dream,3.72,1.81,17.8,3900,male,2007
Adelie,Dream,3.95,1.78,18.8,3300,female,2007
Adelie,Dream,4.09,1.89,18.4,3900,male,2007
Adelie,Dream,3.64,1.7,19.5,3325,female,2007
Adelie,Dream,3.92,2.11,19.6,4150,male,2007
Adelie,Dream,3.88,2,19,3950,male,2007
Adelie,Dream,4.22,1.85,18,3550,female,2007
Adelie,Dream,3.76,1.93,18.1,3300,female,2007
Adelie,Dream,3.98,1.91,18.4,4650,male,2007
Adelie,Dream,3.65,1.8,18.2,3150,female,2007
Adelie,Dream,4.08,1.84,19.5,3900,male,2007
Adelie,Dream,3.6,1.85,18.6,3100,female,2007
Adelie,Dream,4.41,1.97,19.6,4400,male,2007
Adelie,Dream,3.7,1.69,18.5,3000,female,2007
Adelie,Dream,3.96,1.88,19,4600,male,2007
Adelie,Dream,4.11,1.9,18.2,3425,male,2007
Adelie,Dream,3.6,1.79,19,3450,female,2007
Adelie,Dream,4.23,2.12,19.1,4150,male,2007
Adelie,Biscoe,3.96,1.77,18.6,3500,female,2008
Adelie,Biscoe,4.01,1.89,18.8,4300,male,2008
Adelie,Biscoe,3.5,1.79,19,3450,female,2008
Adelie,Biscoe,4.2,1.95,20,4050,male,2008
Adelie,Biscoe,3.45,1.81,18.7,2900,female,2008
Adelie,Biscoe,4.14,1.86,19.1,3700,male,2008
Adelie,Biscoe,3.9,1.75,18.6,3550,female,2008
Adelie,Biscoe,4.06,1.88,19.3,3800,male,2008
Adelie,Biscoe,3.65,1.66,18.1,2850,female,2008
Adelie,Biscoe,3.76,1.91,19.4,3750,male,2008
Adelie,Biscoe,3.57,1.69,18.5,3150,female,2008
Adelie,Biscoe,4.13,2.11,19.5,4400,male,2008
Adelie,Biscoe,3.76,1.7,18.5,3600,female,2008
Adelie,Biscoe,4.11,1.82,19.2,4050,male,2008
Adelie,Biscoe,3.64,1.71,18.4,2850,female,2008
Adelie,Biscoe,4.16,1.8,19.2,3950,male,2008
Adelie,Biscoe,3.55,1.62,19.5,3350,female,2008
Adelie,Biscoe,4.11,1.91,18.8,4100,male,2008
Adelie,Torgersen,3.59,1.66,19,3050,female,2008
Adelie,Torgersen,4.18,1.94,19.8,4450,male,2008
Adelie,Torgersen,3.35,1.9,19,3600,female,2008
Adelie,Torgersen,3.97,1.84,19,3900,male,2008
Adelie,Torgersen,3.96,1.72,19.6,3550,female,2008
Adelie,Torgersen,4.58,1.89,19.7,4150,male,2008
Adelie,Torgersen,3.55,1.75,19,3700,female,2008
Adelie,Torgersen,4.28,1.85,19.5,4250,male,2008
Adelie,Torgersen,4.09,1.68,19.1,3700,female,2008
Adelie,Torgersen,3.72,1.94,18.4,3900,male,2008
Adelie,Torgersen,3.62,1.61,18.7,3550,female,2008
Adelie,Torgersen,4.21,1.91,19.5,4000,male,2008
Adelie,Torgersen,3.46,1.72,18.9,3200,female,2008
Adelie,Torgersen,4.29,1.76,19.6,4700,male,2008
Adelie,Torgersen,3.67,1.88,18.7,3800,female,2008
Adelie,Torgersen,3.51,1.94,19.3,4200,male,2008
Adelie,Dream,3.73,1.78,19.1,3350,female,2008
Adelie,Dream,4.13,2.03,19.4,3550,male,2008
Adelie,Dream,3.63,1.95,19,3800,male,2008
